section,group,order,role,wix_id,original_url,local_path
exhibitions,wsal-2025,1,artwork,fdc35e_3f9449ee154b4a3d8beaa209aacc5334,https://static.wixstatic.com/media/fdc35e_3f9449ee154b4a3d8beaa209aacc5334~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-01.jpg
exhibitions,wsal-2025,2,artwork,fdc35e_549637d41e0f47e5bf6200d277a23380,https://static.wixstatic.com/media/fdc35e_549637d41e0f47e5bf6200d277a23380~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-02.jpg
exhibitions,wsal-2025,3,artwork,fdc35e_275301ea6aa94597a94d114fdf55cfdc,https://static.wixstatic.com/media/fdc35e_275301ea6aa94597a94d114fdf55cfdc~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-03.jpg
exhibitions,wsal-2025,4,artwork,fdc35e_40149f4c7d6c43f585c663b67abd3a93,https://static.wixstatic.com/media/fdc35e_40149f4c7d6c43f585c663b67abd3a93~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-04.jpg
exhibitions,wsal-2025,5,artwork,fdc35e_4663bca130874551baceb7e80a275a4c,https://static.wixstatic.com/media/fdc35e_4663bca130874551baceb7e80a275a4c~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-05.jpg
exhibitions,wsal-2025,6,artwork,fdc35e_5351e92125304e9cb7e860307f365522,https://static.wixstatic.com/media/fdc35e_5351e92125304e9cb7e860307f365522~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-06.jpg
exhibitions,wsal-2025,7,artwork,fdc35e_ffe5e4fed56a4f3a9531a9dd4a6976dd,https://static.wixstatic.com/media/fdc35e_ffe5e4fed56a4f3a9531a9dd4a6976dd~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-07.jpg
exhibitions,wsal-2025,8,artwork,fdc35e_c61eef4db6f2463497536b8c07660b1b,https://static.wixstatic.com/media/fdc35e_c61eef4db6f2463497536b8c07660b1b~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-08.jpg
exhibitions,wsal-2025,9,artwork,fdc35e_b67e79cfaee44515a74bce78b32d8b20,https://static.wixstatic.com/media/fdc35e_b67e79cfaee44515a74bce78b32d8b20~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-09.jpg
exhibitions,wsal-2025,10,artwork,fdc35e_a8599be0cac44e288f0e1b567d032747,https://static.wixstatic.com/media/fdc35e_a8599be0cac44e288f0e1b567d032747~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-10.jpg
