slug,kind,title,titleArabic,year,medium,dimensions,availability,series,image,width,height,aspectRatio,altText
wesal-1,painting,سر الهوى,سر الهوى,2024,mixed media on wood,180 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-1.webp,926,1400,0.6614,"سر الهوى, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-2,painting,وصال,وصال,2024,mixed media on wood,180 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-2.webp,921,1400,0.6579,"وصال, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-3,painting,حبك انفاسي,حبك انفاسي,2024,mixed media on wood,200 x 60 cm,sold,wesal-2025,artwork/wesal-2025/wesal-3.webp,402,1400,0.2871,"حبك انفاسي, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-4,painting,وفيك انطوى العالم,وفيك انطوى العالم,2024,mixed media on wood,200 x 60 cm,sold,wesal-2025,artwork/wesal-2025/wesal-4.webp,416,1400,0.2971,"وفيك انطوى العالم, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-5,painting,طيفك,طيفك,2024,mixed media on wood,120 x 80 cm,sold,wesal-2025,artwork/wesal-2025/wesal-5.webp,928,1400,0.6629,"طيفك, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-6,painting,يراه قلبي,يراه قلبي,2024,mixed media on wood,120 x 80 cm,sold,wesal-2025,artwork/wesal-2025/wesal-6.webp,923,1400,0.6593,"يراه قلبي, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-7,painting,وظننتني احيا بقلب خالٍ,وظننتني احيا بقلب خالٍ,2024,mixed media on wood,120 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-7.webp,1393,1400,0.995,"وظننتني احيا بقلب خالٍ, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-8,painting,لا تألُف الروحُ إلا من يُلاطِفُها,لا تألُف الروحُ إلا من يُلاطِفُها,2024,mixed media on wood,120 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-8.webp,1400,1400,1,"لا تألُف الروحُ إلا من يُلاطِفُها, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-9,painting,سكن,سكن,2024,mixed media on wood,120 x 100 cm,sold,wesal-2025,artwork/wesal-2025/wesal-9.webp,1159,1400,0.8279,"سكن, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-10,painting,وطن,وطن,2024,mixed media on wood,100 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-10.webp,1400,1168,1.1986,"وطن, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-11,painting,خلوة,خلوة,2024,mixed media on wood,120 x 80 cm,sold,wesal-2025,artwork/wesal-2025/wesal-11.webp,932,1400,0.6657,"خلوة, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-12,painting,الارض لكم,الارض لكم,2024,mixed media on wood,120 x 60 cm,sold,wesal-2025,artwork/wesal-2025/wesal-12.webp,695,1400,0.4964,"الارض لكم, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-13,painting,صلة,صلة,2024,mixed media on wood,60 x 120 cm,sold,wesal-2025,artwork/wesal-2025/wesal-13.webp,1400,696,2.0115,"صلة, mixed media on wood, by Karim Abd Elmalak, 2024"
wesal-14,sculpture,أنت أنا ٢,أنت أنا ٢,2024,wire sculpture,120 x 60 cm,available,wesal-2025,artwork/wesal-2025/wesal-14.webp,1400,683,2.0498,"أنت أنا ٢, wire sculpture, by Karim Abd Elmalak, 2024"
wesal-15,sculpture,أنت أنا ١,أنت أنا ١,2024,metal wire,80 x 50 cm,available,wesal-2025,artwork/wesal-2025/wesal-15.webp,947,1400,0.6764,"أنت أنا ١, metal wire, by Karim Abd Elmalak, 2024"
zat-highchair-i,sculpture,Zat Highchair I,,2023,iron & oil-based spray paint,105 x 49 x 54 cm,available,zat-2023,artwork/zat-2023/zat-highchair-i.webp,1400,746,1.8767,"Zāt Highchair I, iron & oil-based spray paint, by Karim Abd Elmalak, 2023"
zat-highchair-ii,sculpture,Zat Highchair II,,2023,iron & oil-based spray paint,105 x 49 x 54 cm,available,zat-2023,artwork/zat-2023/zat-highchair-ii.webp,1400,748,1.8717,"Zāt Highchair II, iron & oil-based spray paint, by Karim Abd Elmalak, 2023"
introspection-i,painting,Introspection I,,2022,mixed media on wood,180 x 120 cm,sold,zat-2023,artwork/zat-2023/introspection-i.webp,963,1400,0.6879,"Introspection I, mixed media on wood, by Karim Abd Elmalak, 2022"
introspection-ii,painting,Introspection II,,2022,mixed media on wood,180 x 120 cm,sold,zat-2023,artwork/zat-2023/introspection-ii.webp,600,873,0.6873,"Introspection II, mixed media on wood, by Karim Abd Elmalak, 2022"
introspection-iii,painting,Introspection III,,2022,mixed media on wood,180 x 120 cm,sold,zat-2023,artwork/zat-2023/introspection-iii.webp,963,1400,0.6879,"Introspection III, mixed media on wood, by Karim Abd Elmalak, 2022"
moonlit-stroll-i,painting,Moonlit Stroll I,,2022,mixed media on wood,180 x 120 cm,sold,zat-2023,artwork/zat-2023/moonlit-stroll-i.webp,963,1400,0.6879,"Moonlit Stroll I, mixed media on wood, by Karim Abd Elmalak, 2022"
moonlit-stroll-ii,painting,Moonlit Stroll II,,2022,mixed media on wood,120 x 120 cm,sold,zat-2023,artwork/zat-2023/moonlit-stroll-ii.webp,1400,1400,1,"Moonlit Stroll II, mixed media on wood, by Karim Abd Elmalak, 2022"
into-the-horizon,painting,Into the Horizon,,2022,mixed media on wood,120 x 120 cm,sold,zat-2023,artwork/zat-2023/into-the-horizon.webp,1400,1400,1,"Into the Horizon, mixed media on wood, by Karim Abd Elmalak, 2022"
continuity,painting,Continuity,,2022,mixed media on wood,120 x 120 cm,sold,zat-2023,artwork/zat-2023/continuity.webp,1400,1400,1,"Continuity, mixed media on wood, by Karim Abd Elmalak, 2022"
lady-liberty,painting,Lady Liberty,,2022,mixed media on wood,180 x 90 cm,sold,zat-2023,artwork/zat-2023/lady-liberty.webp,700,1400,0.5,"Lady Liberty, mixed media on wood, by Karim Abd Elmalak, 2022"
maternal-i,painting,Maternal I,,2022,mixed media on wood,120 x 120 cm,sold,zat-2023,artwork/zat-2023/maternal-i.webp,1400,1400,1,"Maternal I, mixed media on wood, by Karim Abd Elmalak, 2022"
flight-of-stares,painting,Flight of Stares,,2022,mixed media on wood,100 x 100 cm,sold,zat-2023,artwork/zat-2023/flight-of-stares.webp,1400,1385,1.0108,"Flight of Stares, mixed media on wood, by Karim Abd Elmalak, 2022"
twin-sisters,painting,Twin Sisters,,2022,mixed media on wood,100 x 120 cm,sold,zat-2023,artwork/zat-2023/twin-sisters.webp,1400,1050,1.3333,"Twin Sisters, mixed media on wood, by Karim Abd Elmalak, 2022"
maternal-ii,painting,Maternal II,,2022,mixed media on wood,120 x 60 cm,sold,zat-2023,artwork/zat-2023/maternal-ii.webp,695,1400,0.4964,"Maternal II, mixed media on wood, by Karim Abd Elmalak, 2022"
